Location_Number,Site_Number,LOCATION,Road_Num,ROADNAME,ROADTYPE,ROADCLASS,LHA_Name,LHA_Type,District,County,LHA Name,GOR,UrbanRural,CP Number,OSGRX,OSGRY,Direction_of_Lane_1,StreetMap,GoogleMap,SitePhoto,STARTDATE_Operational_Date,Dead_from,Decommissioned,Active,Valid_From,Valid_To,Temp_Valid_From,Temp_Valid_To,SIM_Card_Number,Supplier,Fixed_IP,BT_Number,ClassTable,Last_Class_Table_Upload_Date,Uploaded_by,Contact_Period,Power_Source,CLASSIFIER,Start_Classifier,Serial_no_of_unit,Asset_Num,AssetValue,Test_Site,WIM_Site,Cycle_Sensors,One_or_two_dirs,Cycle_Site,SPEEDSITE,Include_in_Publication,SpeedLimitMPH,Last RSI speed limit MPH,Traffic Calming,Traffic Calming measures,Speed_Comments,Date_RSI_Checked,RSI_Date,RSI_CheckedBy,RSI_observations ,General_Comments,Published_if_active,Procurement_site,London_National,Country,RSI_month_1,RSI_month_2,Last_DfT_contact,LAT,LONG,EMU-3_unit,Date_unit_changed_to_EMU-3,Initial STRATA,STRATA_GF,STRATA_EF,H&S concerns,Conversion,Tranches,Tranches_Valid_from
304,304,"B302 Hospital Lane, Chelsea",B302,"Hospital Lane, Chelsea",Minor,B,Kensington and Chelsea,London Borough,Kensington and Chelsea London Boro,LONDON,,London,,942875,527918,178132,E,Map of 304,Map of 304,Photo of 304,43119,,NO,Yes,43154,,,,07586495440,Vodafone (CCUK),N,No,EMU-3 Hopper,43118,TDC,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,51304,,,No,No,Yes,Two,,,N,,30,,,,,,,,Class table uploaded by TDC due to comms issues at DfT (18/01/18),,,,,December,June,,51.487678,-0.159012,Yes,,S_13,GF_07,EF_10,,,,
305,305,"B2030 Coulsdon Road, Croydon",B2030,Coulsdon Road,Minor,B,Croydon,London Borough,Croydon London Boro,LONDON,,London,,800205,530983,158249,N,Map of 305,Map of 305,Photo of 305,43119,,NO,Yes,43234,,,,07586495400,Vodafone (CCUK),N,No,EMU-3 Hopper,"11/01/2018
15/01/2018","LT
TDC",00-23,6V Battery - Solar,EMU-3,EMU-3,50603,,,No,No,Yes,Two,,,N,,30,,,,,,,,"Unit 51292 replaced by 50603 on 15/01/18. Errors may have been caused by bad comms at DfT end and class table not loading properly.
LCF has been applied on 11/4/2018 for car lengths correction.",Yes,,London,London,December,June,,51.308293,-0.122224,Yes,,S_13,GF_07,EF_10,,,,
306,306,B455 Ruislip Road. Ealing,B455,Ruislip Road,Minor,B,Ealing,London Borough,Ealing London Borough,LONDON,,London,,942597,513381,182720,W,Map of 306,Map of 306,Photo of 306,43126,,NO,Yes,43154,,,,07920362184,Vodafone (CCUK),N,No,EMU-3 Hopper,43124,TDC,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,51295,,,No,No,Yes,Two,,,N,,30,,,,,,,,Class table uploaded by TDC due to comms issues at DfT (24/01/18),,,London,London,December,June,,51.532013,-0.366814,Yes,,S_13,GF_07,EF_10,,,,
309,309,"Breakspeare Road, Hillingdon",Unclassified,Breakspeare Road,Minor,U,Hillingdon,London Borough,Hillingdon London Boro,LONDON,,London,,900100,507549,188483,S,Map of 309,Map of 309,Photo of 309,43126,,NO,Yes,43129,,,,07920362259,Vodafone (CCUK),N,No,EMU-3 Hopper,43125,TDC,00.00 to 01.00 and 06.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,51305,,,No,No,Yes,Two,,,N,,40,,,,,,,,"Class table uploaded by TDC due to comms issues at DfT (25/01/18).
LCF has been applied on 11/4/2018 for car lengths correction.",,,London,London,December,June,,51.584956,-0.449087,Yes,,S_14,GF_08,EF_10,,,,
310,310,"Wrythe Lane, Sutton",B278,Wrythe Lane,Minor,B,Sutton,London Borough,Sutton London Boro,LONDON,,London,,900101,526384,166289,N,Map of 310,Map of 310,Photo of 310,43132,,NO,Yes,43154,,,,07920362187,Vodafone (CCUK),N,No,EMU-3 Hopper,43131,TDC,00.00 to 01.00 and 06.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,51299,,,No,No,Yes,Two,,,N,,30,,,,,,,,Class table uploaded by TDC as no DfT staff in the office (31/01/18),,,,,December,June,,51.381589,-0.185316,Yes,,S_13,GF_07,EF_10,,,,
311,311,B242 Bedford Hill,B242,Bedford Hill,Minor,B,Wandsworth,London Borough,Wandsworth London Boro,LONDON,,London,,942983,529325,172285,E,Map of 311,Map of 311,Photo of 311,43141,,NO,Yes,43174,,,,07785452253,Vodafone (CCUK),N,No,EMU-3 Hopper,43139,TDC,00-23,6V Battery - Solar,EMU-3,EMU-3,51288,,,No,No,Yes,Two,,,N,,30mph,,,,,,,,Class table uploaded by TDC as no DfTstaff  in the office (07/02/18),,,,,October,April,,51.434813,-0.140895,Yes,,S_13,GF_07,EF_10,,,,
312,312,"Katherine Road, East Ham",B109,Katherine Road,Minor,B,Newham,London Borough,Newham London Boro,LONDON,,London,,811193,541918,183994,E,Map of 312,Map of 312,Photo of 312,43153,,NO,Yes,43174,,,,07788224200,Vodafone (CCUK),N,No,EMU-3 Hopper,43151,TDC,00-23,6V Battery - Solar,EMU-3,EMU-3,51459,,,No,No,Yes,Two,,,N,,30mph,,,,,,,,Class table uploaded by TDC as no DfT staff in the office (20/02/18),,,,,October,April,,51.537016,0.044854,Yes,,S_13,GF_07,EF_10,,,,
315,315,"East Ferry Road, Tower Hamlets",Unclassified,East Ferry Road,Minor,U,Tower Hamlets,London Borough,Tower Hamlets London Boro,LONDON,,London,,942955,537937,179040,N,Map of 315,Map of 315,Photo of 315,43171,,NO,Yes,43172,,,,07920362197,Vodafone (CCUK),N,No,EMU-3 Hopper,43138,Q-Free,00.00 to 01.00 and 08.00 to 18.00,6V Battery - Solar,EMU-3,EMU-3,51289,,,No,No,Yes,Two,,,N,,20mph,,,,,,,,Class table uploaded by TDC as no DfT staff  in the office (07/03/18),,,London,London,January,July,,51.493485,-0.014445,Yes,,S_14,GF_08,EF_10,,,,
317,317,"Market Road, Islington",C,Market Road,Minor,C,Islington,London Borough,Islington London Boro,LONDON,,London,,942488,530178,184646,E,Map of 317,Map of 317,Photo of 317,43216,,NO,Yes,43224,,,,07920362198,Vodafone (CCUK),N,No,EMU-3 Hopper,"26/04/2018
03/05/2018","Q-Free
Q-Free",00-23,6V Battery - Solar,EMU-3,EMU-3,50372,,,No,No,Yes,Two,,,N,,20mph,,,,,,,,Faulty EMU-3 unit 51627 replaced by unite 50372 on 03/05/2018,,,London,London,January,July,,51.545702,-0.124076,Yes,,S_14,GF_08,EF_10,,,,
318,318,"White Hart Lane, Haringey",C,White Hart Lane,Minor,C,Haringey,London Borough,Haringey London Boro,LONDON,,London,,942406,532032,191351,N,Map of 318,Map of 318,Photo of 318,43257,,NO,Yes,43258,,,,07920362230,Vodafone (CCUK),N,No,EMU-3 Hopper,43256,Q-Free,00-23,6V Battery - Solar,EMU-3,EMU-3,51629,,,No,No,Yes,Two,,,N,,20mph,,,,,,,,Class table uploaded by TDC as no DfT staff  in the office (05/06/18),,,,,January,July,,51.605525,-0.094837,Yes,,S_14,GF_08,EF_10,,,,
